class-name,perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,NOPK_project
org.apache.cassandra.cli.CliClient,NON-SEVERE,2898,0.1,18,0.87,9,57,0.32,7,64,6,3,17,0.69,0,7,0,9,1,0,1,2,4,8,2,86,30,1,0.166667,0,0.84375,0.222222,2,61,399,1,14229,466,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,102,2,808,724,19045,7
org.apache.cassandra.config.CFMetaData,SEVERE,2851,0.33,18,0.65,8,30,0.32,3,154,5,1,6,0.83,0,0,0,2,2,0,0,2,4,30,3,18,18,0,1,0,0.5,0.333333,4,20,72,0,701,72,0,4,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.config.DatabaseDescriptor,SEVERE,3207,0.28,10,0.68,10,46,0.27,4,187,6,3,7,0.87,0,0,0,7,0,2,1,7,3,32,3,34,34,2,1,0,1,0.571429,7,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,7,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.cql3.statements.SelectStatement,SEVERE,1947,0.14,18,0.84,10,66,0.34,2,174,4,1,8,0.71,0,0,0,1,0,0,0,1,2,32,3,4,4,0,1,0,0,0.333333,1,20,72,0,701,72,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.cql3.statements.SelectStatementTest,SEVERE,1672,0.33,11,0.81,11,40,0.3,2,69,4,2,11,0.6,0,0,0,4,0,0,2,4,1,32,3,35,35,3,1,0,1,0.5,8,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,4,0,0,0,0,4,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.ColumnFamilyStore,SEVERE,2191,0.23,7,0.59,8,54,0.25,3,95,5,2,18,0.59,0,0,0,2,1,4,2,2,1,25,2,16,16,3,0,0,1,0.5,3,20,72,0,701,72,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,1,2,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.ColumnFamilyStoreTest,SEVERE,3232,0.07,9,0.56,6,39,0.29,4,176,7,2,16,0.78,0,0,0,4,1,1,3,4,3,31,3,43,43,10,1,0,1,0.5,11,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,4,0,0,0,0,4,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.compaction.CompactionManager,SEVERE,3055,0.37,11,0.7,10,40,0.34,10,106,5,3,13,0.6,0,0,0,4,2,0,0,4,1,0,1,26,26,0,1,0,0.333333,1,7,20,72,0,701,72,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.context.CounterContext,SEVERE,3549,0.29,18,0.76,11,36,0.33,6,115,3,3,15,0.76,0,0,0,3,0,0,1,3,1,32,3,24,24,2,1,0,1,0.666667,4,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.SystemKeyspace,SEVERE,1652,0.18,13,0.58,11,34,0.34,6,102,6,2,16,0.8,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,20,72,0,701,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
