perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external
MEDIUM,943,0.61,4,0.45,11,25,0.37,8,18,6,4,8,0.55,0,2,0,5,2,0,2,3,4,18,3,75,4,0.6,0,0.75,0.6,7,11,56,3,1645,81,0,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,907,0.23,5,0.45,7,33,0.35,6,28,5,4,9,0.51,0,15,1,29,6,6,9,14,15,14,3,477,23,0.108374,0,0.952381,0.4,56,11,56,3,1645,81,0,0,10,5,0,1,1,1,14,0,0,25,0,4,0,0,0,29,0,0,0,0,29,14,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1036,0.42,6,0.51,9,24,0.42,10,14,6,1,12,0.33,0,6,0,8,0,7,3,2,5,0,1,64,9,0.380952,0,0.885714,0.25,7,11,56,3,1645,81,0,0,2,3,0,0,0,0,5,0,0,8,0,0,0,0,0,8,0,0,0,0,8,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1078,0.72,4,0.46,2,19,0.83,4,6,4,3,18,0.18,0,0,0,1,0,0,0,1,48,0,1,252,0,1,0,0,0,1,15,78,4,2309,96,0,48,0,0,0,48,48,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1030,0.2,5,0.42,6,25,0.42,9,23,6,1,8,0.5,0,0,3,11,2,8,15,11,5,50,3,323,29,0.222222,0,0.96,0.875,49,4,16,0,323,16,0,1,0,4,0,1,1,1,4,0,0,7,0,4,0,0,0,11,0,0,0,0,11,10,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,894,0.27,5,0.53,6,24,0.35,3,34,5,4,18,0.49,1,0,0,1,0,0,0,1,0,0,1,9,0,1,?,0,?,2,4,16,0,323,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1100,0.45,5,0.51,8,28,0.47,8,14,5,2,10,0.24,1,10,0,12,0,1,2,2,5,0,1,42,2,0.163636,0,0.890909,0.166667,8,14,99,0,2120,114,0,0,0,0,5,0,0,0,5,0,0,12,0,0,0,0,0,12,1,0,0,1,11,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1060,0.61,3,0.46,6,23,0.39,10,18,5,3,14,0.4,0,0,0,2,0,0,0,2,1,63,3,21,0,1,0,1,1,3,7,78,0,4403,88,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,989,0.5,5,0.45,5,24,0.49,5,42,4,3,11,0.35,0,4,0,5,0,0,1,1,15,13,3,89,1,0,0,1,0,1,9,74,4,2503,131,0,10,5,0,0,10,10,10,5,0,0,4,0,0,1,0,0,5,0,0,0,0,5,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,900,0.57,3,0.53,10,31,0.42,9,37,7,4,9,0.35,3,7,0,15,?,0,1,8,13,?,2,155,1,0.032967,3,1,?,8,9,74,4,2503,131,0,0,0,8,5,0,5,0,8,0,5,15,0,0,0,0,2,13,0,0,0,0,15,7,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,931,0.35,4,0.44,9,24,0.48,2,32,6,1,6,0.28,0,16,0,17,0,0,0,1,8,0,1,1,0,0.066667,0,0.9375,0,1,5,49,1,1904,71,0,0,8,0,0,0,0,0,8,0,0,0,0,0,17,0,0,17,0,0,0,0,17,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1102,0.64,4,0.43,9,28,0.43,10,41,4,4,17,0.43,0,0,0,13,2,3,3,13,5,3,2,218,3,0.755556,0,0.683333,1,51,6,38,0,752,38,0,0,5,0,0,0,1,0,4,0,1,11,2,0,0,0,0,13,2,0,0,2,11,12,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,912,0.33,3,0.48,5,26,0.46,7,36,6,1,16,0.4,1,0,0,1,0,0,0,1,0,0,1,8,0,1,0,0,1,2,6,38,0,752,38,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1049,0.61,7,0.45,10,27,0.48,3,41,7,2,8,0.28,4,89,0,162,2,101,41,73,77,0,1,2065,71,0.27739,0,0.984028,0.385714,344,9,190,13,4816,331,0,0,76,1,0,3,3,3,74,0,0,140,19,3,0,3,0,159,9,3,0,6,153,70,0,3,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,988,0.32,6,0.53,8,25,0.41,5,20,6,4,15,0.29,0,40,0,41,1,1,0,1,20,0,1,380,0,0.029268,0,0.9725,0.02439,2,9,190,13,4816,331,0,0,20,0,0,0,0,0,20,0,0,42,0,0,0,0,0,42,0,0,0,0,42,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1041,0.12,12,0.46,8,70,0.12,6,178,5,4,14,0.88,1,62,8,201,5,58,48,139,54,73,3,2855,135,0.106476,1,0.983611,0.651042,390,195,2231,11,50650,2992,0,5,10,39,0,21,10,10,33,11,0,187,5,9,0,11,0,190,2,0,11,2,188,134,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1050,0.26,13,0.49,11,63,0.09,2,211,5,4,12,0.8,0,9,3,29,1,51,31,20,19,0,1,1005,58,0.471429,0,0.947368,0.424242,250,44,404,1,11914,472,0,10,9,0,0,13,13,13,6,0,0,23,6,0,0,2,0,27,1,0,2,1,26,18,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,964,0.28,8,0.41,5,54,0.12,6,97,5,2,18,0.82,1,3,1,45,2,53,41,42,7,59,3,1538,110,0.378917,0,0.827922,0.88,371,44,404,1,11914,472,0,0,7,0,0,1,1,1,6,0,0,25,14,5,1,0,0,45,4,0,0,4,41,38,0,4,FALSE,TRUE,FALSE,FALSE,FALSE
SEVERE,1040,0.26,9,0.41,5,64,0.04,5,115,6,2,7,0.58,1,0,4,40,1,66,37,40,10,555,6,1353,67,0.381818,0,0.94359,1,211,288,938,1,23070,1073,0,0,10,0,0,5,4,4,5,1,0,12,28,0,0,0,0,40,1,0,0,1,39,39,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1006,0.05,11,0.51,9,48,0.12,8,139,3,4,10,0.64,0,1,2,5,3,0,4,4,1,23,4,57,4,0,0,1,0.75,4,80,455,3,4694,492,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,1,0,4,1,0,1,1,3,3,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,973,0.38,18,0.47,8,68,0.04,2,54,6,3,8,0.57,1,0,0,1,0,0,1,1,0,0,1,24,1,1,?,0,?,7,80,455,3,4694,492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1037,0.12,11,0.52,9,48,0.03,4,114,7,2,17,0.88,0,4,0,8,4,0,0,4,4,4,2,5,0,0.142857,0,0.857143,0.5,4,80,455,3,4694,492,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,4,1,0,TRUE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,956,0.71,6,0.44,3,15,0.83,9,6,7,4,17,0.18,0,5,0,6,0,0,0,1,8,2,2,55,0,0,0,1,0.125,2,324,1378,38,36313,1878,0,2,1,5,0,1,3,1,5,0,2,6,0,0,0,0,0,6,0,0,0,0,6,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
