class-name,perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external,is_controller,is_procedural,is_util,is_test,is_external
org.apache.cayenne.access.DataContextPrefetchTest,SEVERE,965,0.47,7,0.52,8,32,0.36,13,37,5,6,5,0.43,0,7,1,0,1,1,0,2,1,2,0,62,100,40,0.66,42,0.45,0.24,93,10,0,3,4,5,2,4,0,6,12,2,12,3,11,1,11,12,8,9,9,9,10,1,10,8,3,12,9,3,12,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cayenne.access.DataContextTest,SEVERE,919,0.32,13,0.46,6,31,0.36,5,24,4,2,6,0.4,1,6,0,0,0,2,2,2,2,0,1,34,45,34,0.53,39,0.2,0.76,25,3,5,2,7,0,7,8,11,11,12,4,10,8,5,10,9,11,12,10,11,10,2,9,12,8,7,0,11,10,0,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cayenne.access.DataDomain,SEVERE,1075,0.34,16,0.5,7,34,0.45,12,41,3,3,6,0.51,3,6,2,0,2,1,2,0,2,0,2,27,54,18,0.43,14,0.4,0.34,39,2,12,10,4,10,7,5,9,11,1,9,4,9,10,3,4,1,1,5,2,3,3,4,6,5,6,7,0,11,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.access.DbLoader,SEVERE,914,0.6,11,0.52,10,29,0.31,4,14,4,4,5,0.51,2,6,1,1,1,2,2,0,1,2,0,116,90,47,0.93,18,0.36,0.94,88,6,9,8,6,4,0,11,1,0,7,6,1,4,12,10,1,3,12,10,11,8,12,12,7,2,4,9,3,3,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.access.IncrementalFaultList,SEVERE,998,0.52,21,0.5,11,28,0.35,12,38,7,6,4,0.42,3,5,0,0,1,0,0,0,1,2,0,103,29,24,0.69,52,0.23,0.16,4,10,10,6,9,7,10,6,9,4,8,0,6,8,12,11,10,6,9,12,10,11,0,11,0,10,8,4,1,6,6,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.access.jdbc.EJBQLConditionTranslator,NON-SEVERE,1070,0.42,11,0.5,8,34,0.37,7,19,6,1,4,0.49,1,0,1,1,0,2,1,0,1,0,0,99,63,55,0.78,37,0.62,0.74,52,3,11,10,2,2,4,3,2,4,1,2,0,12,3,3,5,11,7,5,3,2,6,11,3,4,2,4,11,11,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.access.ObjectStore,SEVERE,1076,0.3,21,0.42,9,32,0.36,16,34,7,4,5,0.53,3,7,1,1,1,2,1,2,0,0,0,65,37,12,0.75,19,0.39,0.59,6,5,3,8,2,7,11,8,8,9,0,6,10,2,7,0,4,5,9,6,4,11,5,12,4,8,10,4,2,12,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.access.ReturnTypesMappingTest,SEVERE,941,0.37,9,0.54,9,34,0.34,7,30,7,6,3,0.48,0,3,1,1,1,2,1,0,2,2,2,102,49,10,0.98,8,0.73,0.03,46,9,6,4,8,5,4,10,2,8,2,8,7,3,11,8,6,1,2,3,6,2,7,7,9,3,4,1,4,0,11,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cayenne.access.trans.SelectTranslatorTest,NON-SEVERE,968,0.46,11,0.45,6,27,0.3,16,37,3,3,4,0.4,1,9,1,1,0,0,1,2,1,2,1,56,84,24,0.57,23,0.47,0.74,45,11,10,8,11,4,11,5,10,5,4,0,11,9,8,11,7,6,5,11,8,8,9,1,4,10,1,5,2,6,7,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
org.apache.cayenne.exp.Expression,NON-SEVERE,945,0.44,8,0.44,7,30,0.45,0,4,5,1,4,0.55,1,0,1,0,0,2,1,1,2,2,1,74,104,28,0.78,15,0.52,0.99,37,11,1,4,10,4,12,10,2,2,5,3,4,4,4,8,8,3,6,11,3,7,7,6,0,3,11,10,10,0,8,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.exp.ExpressionFactory,SEVERE,948,0.34,10,0.47,8,34,0.42,8,33,4,5,4,0.44,0,7,1,2,2,0,1,1,1,2,0,109,76,48,0.12,55,0.66,0.5,3,8,8,4,1,6,11,9,10,2,10,2,3,5,10,11,2,6,5,2,10,10,9,8,8,9,1,11,7,8,7,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.cayenne.exp.parser.ExpressionParser,SEVERE,1084,0.39,15,0.48,11,30,0.38,11,39,6,6,5,0.41,2,4,1,2,1,2,0,2,2,1,0,106,97,41,0.46,11,0.55,0.88,11,7,5,4,1,5,1,1,3,12,4,5,11,7,4,5,0,5,6,5,12,3,3,4,1,5,3,1,1,2,3,8,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.cayenne.exp.parser.ExpressionParserTokenManager,SEVERE,961,0.41,8,0.47,7,28,0.35,5,34,7,6,4,0.4,0,5,1,2,1,1,1,0,0,0,2,59,60,19,0.32,13,0.46,0.64,12,9,0,11,1,2,8,9,7,4,6,1,1,8,11,3,4,7,0,2,10,6,6,7,2,8,8,6,10,5,3,12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
