smell,class,comments,coupling,changehistory,cohesion,size,complexity,production,testing
complex-class,jena.schemagen,"
poorly understandable.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.cli.CliClient,"
the client has some problems and does too many things. However, since it doesnt change too much, I would not consider this as a priority. 
",0,1,0,0,0,1,0
complex-class,org.apache.cassandra.config.CFMetaData,"
the class is overly complex, at some point someone should simplify it.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.config.DatabaseDescriptor,"
too many loops that could be simplified, too many conditions checked. 
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.cql3.statements.SelectStatement,"
the complexity may be reduced, but this is not the moment. 
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.db.ColumnFamilyStore,"
the class is generally complex because it performs some tasks needed for the DB management, it is hard to understand how to refactor.
",0,0,0,0,1,1,0
complex-class,org.apache.cassandra.db.SystemKeyspace,"
it may be refactored for comprehensibility, but it works and so there is no need now to do it. 
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.gms.Gossiper,"
the class is surely poorly understandable, yet I would postpone the refactoring till its stable.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.io.sstable.SSTableReader,"
this is something we were considering since the class is complex enough not to allow everybody to work on it. We will do that at some oiint.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.service.StorageProxy,"
StorageProxy does several things, its refactoring may require some time.
",0,0,0,0,0,0,0
complex-class,org.apache.cassandra.service.StorageService,"
the service is a legacy code
",0,0,0,0,0,1,0
complex-class,org.apache.cassandra.service.StorageServiceMBean,"
the class is too complex.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.thrift.CassandraServer,"
the sever actions are legacy, but a refactoring aimed at reducing its complexity may be worth.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.thrift.CfDef,"
this class would need some massaging to increase readability, but is not that urgent IMO
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.tools.NodeProbe,"
a number of loops may be simplified. 
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.access.translator.ejbql.EJBQLConditionTranslator,"
there are too many conditions covered, it needs to be found a way to simplify the class.
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.dba.oracle.OracleResultSetWrapper,"
it wraps too many arguments and this makes the class unreadable.
",0,0,0,1,0,0,0
complex-class,org.apache.cayenne.exp.ExpressionFactory,"
the factory is hard to understand and every time I make a change I spend a lot of time.
",0,1,0,0,1,1,0
complex-class,org.apache.cayenne.map.DataMap,"
It is an extreme case of complexity that may be solved.
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.map.MapLoader,"
this is a complex class with too many methods
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.map.ObjEntity,"
i am aware of the high complexity of the class, i am currently working to reduce it.
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.modeler.ProjectController,"
it is too complex, should be refactored.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.jaxrs.client.AbstractClient,"
it is an abstract class, does nto require changes despite it could have been designed better.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.client.WebClient,"
this is not really a problem since it doesn't change too much.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.impl.UriBuilderImpl,"
the class is too complex
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.jaxrs.impl.UriBuilderImplTest,"
as long as the test finds bugs, it is ok to have complexity. 
",0,0,0,1,1,0,1
complex-class,org.apache.cxf.jaxrs.model.wadl.WadlGenerator,"
there are other classes that may require more attention.
",0,0,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.provider.AbstractJAXBProvider,"
it may be refactored, but after all it does what is required from it. 
",0,0,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.provider.JAXBElementProviderTest,"
again, the test works well.
",0,0,0,0,0,0,1
complex-class,org.apache.cxf.jaxrs.provider.json.JSONProviderTest,"
again, the test works well.
",0,0,0,0,0,0,1
complex-class,org.apache.cxf.jaxrs.utils.InjectionUtils,"
thanks for your email. I see the problem of the class, but I can still apply changes to it so I do not need now to refactor.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.utils.JAXRSUtils,"
thanks for your email. I see the problem of the class, but I can still apply changes to it so I do not need now to refactor.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.utils.JAXRSUtilsTest,"
thanks for your email. I see the problem of the class, but I can still apply changes to it so I do not need now to refactor.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.rs.security.jose.jwe.JweUtils,"
it is just a class with some methods useful for others, it is complex because it is mixedâ?but is OK.
",0,0,0,0,1,1,0
complex-class,org.apache.cxf.rt.security.crypto.CryptoUtils,"
it is just a class with some methods useful for others, it is complex because it is mixedâ?but is OK.
",0,0,0,0,1,1,0
complex-class,org.apache.cxf.staxutils.StaxUtils,"
this is a utility class, but since it is changed frequently it would be worth to simplify.
",0,1,0,0,1,1,0
complex-class,org.apache.cxf.systest.handlers.HandlerInvocationTest,"
the complexity should be reduced to allow simpler modifications
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.jaxrs.BookStore,"
I am aware this should be fixed.
",0,0,0,0,0,0,0
complex-class,org.apache.cxf.systest.jaxrs.JAXRSClientServerBookTest,"
it works, but every time I need to modify it I become crazyâ?
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.systest.jaxrs.JAXRSMultipartTest,"
there are too many paths covered, it shouldn't be so. 
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.jaxrs.MultipartStore,"
the complexity of this class is notably high, it would need some refactoring.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.sts.batch.SimpleBatchSTSClient,"
""it should be a """"simple"""" batch, but is actually horribly designedâ?""
",0,0,0,0,0,1,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient2,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient3,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient4,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.tools.corba.processors.idl.IDLLexer,"
the lexer is problematic per se, but it could be possible to reduce the number of conditions checked by the class.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.tools.corba.processors.idl.IDLParser,"
also in this case, the complexity may be reduced. 
",0,0,0,0,1,0,0
