smell,class,criticality,comments,coupling,changehistory,cohesion,size,complexity,production,testing
complex-class,jena.schemagen,1,"
poorly understandable.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.cli.CliClient,1,"
the client has some problems and does too many things. However, since it doesnt change too much, I would not consider this as a priority. 
",0,1,0,0,0,1,0
complex-class,org.apache.cassandra.config.CFMetaData,1,"
the class is overly complex, at some point someone should simplify it.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.config.DatabaseDescriptor,1,"
too many loops that could be simplified, too many conditions checked. 
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.cql3.statements.SelectStatement,1,"
the complexity may be reduced, but this is not the moment. 
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.db.ColumnFamilyStore,1,"
the class is generally complex because it performs some tasks needed for the DB management, it is hard to understand how to refactor.
",0,0,0,0,1,1,0
complex-class,org.apache.cassandra.db.SystemKeyspace,1,"
it may be refactored for comprehensibility, but it works and so there is no need now to do it. 
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.gms.Gossiper,1,"
the class is surely poorly understandable, yet I would postpone the refactoring till its stable.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.io.sstable.SSTableReader,1,"
this is something we were considering since the class is complex enough not to allow everybody to work on it. We will do that at some oiint.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.service.StorageService,1,"
the service is a legacy code
",0,0,0,0,0,1,0
complex-class,org.apache.cassandra.service.StorageServiceMBean,1,"
the class is too complex.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.thrift.CassandraServer,1,"
the sever actions are legacy, but a refactoring aimed at reducing its complexity may be worth.
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.thrift.CfDef,1,"
this class would need some massaging to increase readability, but is not that urgent IMO
",0,0,0,0,1,0,0
complex-class,org.apache.cassandra.tools.NodeProbe,1,"
a number of loops may be simplified. 
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.access.translator.ejbql.EJBQLConditionTranslator,2,"
there are too many conditions covered, it needs to be found a way to simplify the class.
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.dba.oracle.OracleResultSetWrapper,2,"
it wraps too many arguments and this makes the class unreadable.
",0,0,0,1,0,0,0
complex-class,org.apache.cayenne.exp.ExpressionFactory,2,"
the factory is hard to understand and every time I make a change I spend a lot of time.
",0,1,0,0,1,1,0
complex-class,org.apache.cayenne.map.DataMap,2,"
It is an extreme case of complexity that may be solved.
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.map.MapLoader,2,"
this is a complex class with too many methods
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.map.ObjEntity,2,"
i am aware of the high complexity of the class, i am currently working to reduce it.
",0,0,0,0,1,0,0
complex-class,org.apache.cayenne.modeler.ProjectController,2,"
it is too complex, should be refactored.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.jaxrs.client.AbstractClient,0,"
it is an abstract class, does nto require changes despite it could have been designed better.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.client.WebClient,0,"
this is not really a problem since it doesn't change too much.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.impl.UriBuilderImpl,2,"
the class is too complex
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.jaxrs.impl.UriBuilderImplTest,0,"
as long as the test finds bugs, it is ok to have complexity. 
",0,0,0,1,1,0,1
complex-class,org.apache.cxf.jaxrs.provider.JAXBElementProviderTest,0,"
again, the test works well.
",0,0,0,0,0,0,1
complex-class,org.apache.cxf.jaxrs.provider.json.JSONProviderTest,0,"
again, the test works well.
",0,0,0,0,0,0,1
complex-class,org.apache.cxf.jaxrs.utils.InjectionUtils,0,"
thanks for your email. I see the problem of the class, but I can still apply changes to it so I do not need now to refactor.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.utils.JAXRSUtils,0,"
thanks for your email. I see the problem of the class, but I can still apply changes to it so I do not need now to refactor.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.jaxrs.utils.JAXRSUtilsTest,0,"
thanks for your email. I see the problem of the class, but I can still apply changes to it so I do not need now to refactor.
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.rs.security.jose.jwe.JweUtils,0,"
it is just a class with some methods useful for others, it is complex because it is mixed… but is OK.
",0,0,0,0,1,1,0
complex-class,org.apache.cxf.rt.security.crypto.CryptoUtils,0,"
it is just a class with some methods useful for others, it is complex because it is mixed… but is OK.
",0,0,0,0,1,1,0
complex-class,org.apache.cxf.staxutils.StaxUtils,2,"
this is a utility class, but since it is changed frequently it would be worth to simplify.
",0,1,0,0,1,1,0
complex-class,org.apache.cxf.systest.handlers.HandlerInvocationTest,2,"
the complexity should be reduced to allow simpler modifications
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.jaxrs.JAXRSClientServerBookTest,2,"
it works, but every time I need to modify it I become crazy… 
",0,1,0,0,0,0,0
complex-class,org.apache.cxf.systest.jaxrs.JAXRSMultipartTest,2,"
there are too many paths covered, it shouldn't be so. 
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.jaxrs.MultipartStore,2,"
the complexity of this class is notably high, it would need some refactoring.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.sts.batch.SimpleBatchSTSClient,2,"
""it should be a """"simple"""" batch, but is actually horribly designed… ""
",0,0,0,0,0,1,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient,2,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient2,2,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient3,2,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.systest.type_test.AbstractTypeTestClient4,2,"
we are aware this may require some action to improve readability
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.tools.corba.processors.idl.IDLLexer,2,"
the lexer is problematic per se, but it could be possible to reduce the number of conditions checked by the class.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.tools.corba.processors.idl.IDLParser,2,"
also in this case, the complexity may be reduced. 
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaHelper,2,"
it is complex, should be redesigned.
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.ws.rm.persistence.jdbc.RMTxStore,2,"
it is simply unreadable, it must be fixed. 
",0,0,0,0,1,0,0
complex-class,org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean,2,"
too many if conditions, needs refactoring.
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.api.security.user.UserManagerSearchTest,2,"
it is extremely complex!
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.commons.JcrUtils,1,"
a utility class may be like that, I dont see a big problem.
",0,0,0,0,0,1,0
complex-class,org.apache.jackrabbit.core.NodeImpl,0,"
this is a clear case of wrong implementation, that is even hard to fix
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.core.query.lucene.SearchIndex,0,"
the index has almost never touched since time.
",0,1,0,0,0,0,0
complex-class,org.apache.jackrabbit.core.RepositoryImpl,0,"
not really an issue, it doesnt change too often.
",0,1,0,0,0,0,0
complex-class,org.apache.jackrabbit.core.SessionImpl,0,"
while it is poorly understandable, the modifications here are limited.
",0,1,0,0,1,0,0
complex-class,org.apache.jackrabbit.jcr2spi.AbstractJCR2SPITest,0,"
as long as the test finds bugs, it is ok to have complexity. 
",0,0,0,1,1,0,1
complex-class,org.apache.jackrabbit.jcr2spi.NodeImpl,0,"
yeah, I am aware this may be done better. The time I have is limited to simplify it.
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.spi.commons.logging.RepositoryServiceLogger,2,"
this must be simplified, I agree with that. 
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.spi.commons.query.qom.QueryObjectModelFactoryImpl,2,"
the factory implementation borned as a design pattern, but the experiment went wrong… 
",0,0,0,0,0,1,0
complex-class,org.apache.jackrabbit.spi.commons.query.sql.JCRSQLParser,2,"
classes like this one should be simplified, otherwise it is simply impossible to work.
",0,0,0,0,1,0,0
complex-class,org.apache.jackrabbit.spi.commons.query.xpath.XPathTokenManager,2,"
this is too complex, there are too many conditions checked. Perhaps it would be better to split the manager in two.
",0,0,0,0,1,1,0
complex-class,org.apache.jackrabbit.spi.RepositoryService,2,"
it is really complex, I have problems while touching it and I was already considering the idea of removing this class.
",0,1,0,0,1,0,0
complex-class,org.apache.jackrabbit.test.api.version.RestoreTest,0,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.test.api.version.simple.RestoreTest,0,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.test.api.version.VersionHistoryTest,0,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jackrabbit.test.api.version.VersionTest,0,"
it's a test, so no need to really think about its complexity.
",0,0,0,0,1,0,1
complex-class,org.apache.jena.atlas.iterator.Iter,1,"
too many loops, yet sometimes this is required. 
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.connections.AbstractJenaConnectionTests,1,"
we did some refactoring but the complexity didn't decrease too much.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.connections.JenaConnection,1,"
the connection could actually be simplified.
",1,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.metadata.JenaMetadata,1,"
it is way too complex for the action it is supposed to do.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.metadata.results.MetaResultSet,1,"
the complexity of this class is not aligned with its functionalities.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.results.AbstractResultSetTests,1,"
I see that an external notes that the design of the class could be improved (there are too many methods that do too many things), but I use to develop on this class and refactoring may be done at some point. 
",1,0,0,0,0,0,0
complex-class,org.apache.jena.jdbc.results.JenaResultSet,1,"
this is hard to understand… but I usually develop here.
",0,0,0,0,1,0,0
complex-class,org.apache.jena.jdbc.statements.AbstractJenaStatementTests,1,"
i'll do some refactoring, this is actually a bit too complex. 
",0,0,0,0,1,0,0
