,smell,entropy,class,correct_prediction,important_features,criticality,comments,coupling,changehistory,cohesion,size,complexity,production,testing,selected_cohesion,selected_coupling,selected_size,selected_complexity,selected_changehistory,selected_production,selected_testing
469,spaghetti-code,0.831413907,org.apache.cassandra.config.DatabaseDescriptor,TRUE,"['C3', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
long methods.
",0,0,0,1,0,0,0,1,0,1,0,0,0,0
470,spaghetti-code,1.315480343,org.apache.cassandra.cql3.statements.SelectStatementTest,TRUE,"['C3', 'LCOM5_type', 'CBO']",1,"
the class is complex because it tests a class that is complex.
",0,0,0,0,1,0,1,1,1,0,0,0,0,0
471,spaghetti-code,1.494318702,org.apache.cassandra.db.ColumnFamilyStore,TRUE,"['C3', 'RFC', 'number_constructor_NotDefaultConstructor_methods']",1,"
methods are too long.
",0,0,0,1,0,0,0,1,0,1,0,0,0,0
472,spaghetti-code,1.542802005,org.apache.cassandra.db.ColumnFamilyStoreTest,FALSE,"['number_protected_visibility_attributes', 'number_private_visibility_methods', 'number-changes']",1,"
it is hard to understand.
",0,0,0,0,1,0,0,0,0,1,0,1,0,0
473,spaghetti-code,1.325101021,org.apache.cassandra.gms.Gossiper,TRUE,"['C3', 'number_abstract_methods', 'CFNAMM_type']",1,"
the class has a number of long methods.
",0,0,0,1,0,0,0,1,1,1,0,0,0,0
474,spaghetti-code,1.579057709,org.apache.cassandra.io.sstable.SSTableReader,TRUE,"['NOM_package', 'C3', 'MPC']",1,"
too many methods.
",0,0,0,1,0,0,0,1,1,1,0,0,0,0
475,spaghetti-code,1.119769527,org.apache.cassandra.io.sstable.SSTableRewriterTest,TRUE,"['C3', 'number_final_not_static_methods', 'NOM_package']",1,"
the class is overly long.
",0,0,0,1,0,0,0,1,0,1,0,0,0,0
476,spaghetti-code,1.031146644,org.apache.cassandra.metrics.ColumnFamilyMetrics,TRUE,"['C3', 'number_not_final_not_static_methods', 'RFC']",1,"
methods are too long.
",0,0,0,1,0,0,0,1,0,1,0,0,0,0
477,spaghetti-code,1.583252928,org.apache.cassandra.service.StorageProxy,TRUE,"['LOC', 'is_controller', 'C3']",1,"
the complexity of the methods is too high.
",0,0,0,0,1,0,0,1,0,1,0,0,1,0
478,spaghetti-code,1.377427593,org.apache.cassandra.service.StorageService,TRUE,"['C3', 'CFNAMM_type', 'number_final_static_methods']",1,"
long methods.
",0,0,0,1,0,0,0,1,1,1,0,0,0,0
