,smell,entropy,class,correct_prediction,important_features,criticality,comments,coupling,changehistory,cohesion,size,complexity,production,testing,selected_cohesion,selected_coupling,selected_size,selected_complexity,selected_changehistory,selected_production,selected_testing
291,spaghetti-code,1.210579421,org.apache.cassandra.config.DatabaseDescriptor,TRUE,"['Readability', 'number_final_not_static_methods', 'NOM_package']",1,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
292,spaghetti-code,1.092184335,org.apache.cassandra.cql3.statements.SelectStatementTest,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
the class is complex because it tests a class that is complex.
",0,0,0,0,1,0,1,0,0,1,1,0,0,0
293,spaghetti-code,1.072029683,org.apache.cassandra.db.ColumnFamilyStore,TRUE,"['Readability', 'avg.dev.scattering', 'NOM_package']",1,"
methods are too long.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
294,spaghetti-code,1.108239812,org.apache.cassandra.db.ColumnFamilyStoreTest,TRUE,"['Readability', 'NOM_package', 'number_protected_visibility_attributes']",1,"
it is hard to understand.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
295,spaghetti-code,1.314369812,org.apache.cassandra.gms.Gossiper,TRUE,"['Readability', 'number_abstract_methods', 'NOM_package']",1,"
the class has a number of long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
296,spaghetti-code,1.06925234,org.apache.cassandra.io.sstable.SSTableReader,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
too many methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
297,spaghetti-code,1.200957298,org.apache.cassandra.io.sstable.SSTableRewriterTest,TRUE,"['Readability', 'number_final_not_static_methods', 'NOM_package']",1,"
the class is overly long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
298,spaghetti-code,0.98624237,org.apache.cassandra.metrics.ColumnFamilyMetrics,TRUE,"['Readability', 'NOM_package', 'NOC_type']",1,"
methods are too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
299,spaghetti-code,1.076580896,org.apache.cassandra.service.StorageProxy,TRUE,"['Readability', 'NOM_package', 'number_constructor_NotDefaultConstructor_methods']",1,"
the complexity of the methods is too high.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
300,spaghetti-code,1.163631606,org.apache.cassandra.service.StorageService,TRUE,"['Readability', 'NOC_type', 'number_constructor_DefaultConstructor_methods']",1,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
301,spaghetti-code,1.160204102,org.apache.cassandra.thrift.Cassandra,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
long and complex code.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
302,spaghetti-code,1.163712189,org.apache.cassandra.thrift.CassandraServer,TRUE,"['Readability', 'NOM_package', 'number_protected_visibility_methods']",1,"
too many long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
303,spaghetti-code,1.208739423,org.apache.cassandra.thrift.CfDef,TRUE,"['Readability', 'NOM_package', 'number_protected_visibility_attributes']",1,"
complex methods with unclear functions.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
304,spaghetti-code,1.0828677,org.apache.cassandra.thrift.ColumnDef,TRUE,"['Readability', 'NOM_package', 'number_abstract_methods']",1,"
too many methods are too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
305,spaghetti-code,1.274870178,org.apache.cassandra.thrift.ColumnOrSuperColumn,TRUE,"['Readability', 'number_private_visibility_attributes', 'CBO']",1,"
certain methods look complex.
",0,0,0,0,1,0,0,0,1,1,1,0,0,0
306,spaghetti-code,1.080215993,org.apache.cassandra.thrift.CqlMetadata,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
code complexity.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
307,spaghetti-code,1.189531124,org.apache.cassandra.thrift.CqlPreparedResult,TRUE,"['Readability', 'LCOM5_type', 'NOM_package']",1,"
some methods are complex.
",0,0,0,0,1,0,0,1,0,1,1,0,0,0
308,spaghetti-code,1.206008117,org.apache.cassandra.thrift.CqlResult,TRUE,"['Readability', 'number_final_not_static_methods', 'NOM_package']",1,"
High LOC.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
309,spaghetti-code,1.047727354,org.apache.cassandra.thrift.KsDef,TRUE,"['Readability', 'NOM_package', 'NOC_type']",1,"
long methods are included in the class.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
310,spaghetti-code,1.039720994,org.apache.cassandra.thrift.MultiSliceRequest,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",1,"
the class has several complex methods.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
311,spaghetti-code,1.34719139,org.apache.cassandra.tools.NodeProbe,TRUE,"['Readability', 'WOC_type', 'NOM_package']",1,"
methods are too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
312,spaghetti-code,1.216687014,org.apache.cassandra.utils.MerkleTree,TRUE,"['Readability', 'NOM_package', 'avg.dev.scattering']",1,"
complex code.
",0,0,0,0,1,0,0,0,0,1,1,1,0,0
313,spaghetti-code,1.176110743,org.apache.jackrabbit.api.security.user.UserManagerSearchTest,TRUE,"['Readability', 'NOM_package', 'number_protected_visibility_attributes']",1,"
too many long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
314,spaghetti-code,1.102733678,org.apache.jackrabbit.commons.AbstractNode,TRUE,"['Readability', 'NOM_package', 'WMC']",1,"
the class has too many complex methods.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
315,spaghetti-code,1.135355549,org.apache.jackrabbit.commons.cnd.CompactNodeTypeDefReader,TRUE,"['Readability', 'number_package_visibility_methods', 'NOM_package']",1,"
to be honest, several methods are too long and could dialog with other classes in a better way.
",1,0,0,1,0,0,0,0,0,1,1,0,0,0
316,spaghetti-code,0.761703304,org.apache.jackrabbit.commons.cnd.CompactNodeTypeDefReader,TRUE,"['Readability', 'NOM_package', 'NOC_type']",2,"
the complexity of the code is high.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
317,spaghetti-code,1.261200873,org.apache.jackrabbit.commons.JcrUtils,TRUE,"['Readability', 'NOC_type', 'NOM_package']",1,"
long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
318,spaghetti-code,0.61379316,org.apache.jackrabbit.commons.JcrUtils,TRUE,"['Readability', 'NOC_type', 'NOM_package']",2,"
methods are simply too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
319,spaghetti-code,1.141668209,org.apache.jackrabbit.commons.query.GQL,TRUE,"['Readability', 'NOCS_package', 'NOM_package']",1,"
several methods - which were well designed at the beginning - of the class could be refactored for improving their comprehension.
",0,0,0,0,1,0,0,0,0,1,1,0,0,0
320,spaghetti-code,0.606829821,org.apache.jackrabbit.commons.query.GQL,TRUE,"['Readability', 'NOM_package', 'CBO']",2,"
the methods would need some refactoring to be simplified.
",0,0,0,0,1,0,0,0,1,1,1,0,0,0
321,spaghetti-code,1.006442085,org.apache.jackrabbit.commons.query.sql2.Parser,TRUE,"['Readability', 'NOM_package', 'is_controller']",1,"
long and complex code makes hard to understand the class.
",0,0,0,1,1,0,0,0,0,1,1,0,1,0
322,spaghetti-code,0.566497464,org.apache.jackrabbit.commons.query.sql2.Parser,TRUE,"['Readability', 'Avg-commit-size', 'NOM_package']",2,"
the class makes use of complex methods.
",0,0,0,0,1,0,0,0,0,1,1,1,0,0
323,spaghetti-code,1.129923196,org.apache.jackrabbit.core.CachingHierarchyManager,TRUE,"['Readability', 'avg.dev.scattering', 'number_constructor_DefaultConstructor_methods']",1,"
too many long methods.
",0,0,0,1,0,0,0,0,0,1,1,1,0,0
324,spaghetti-code,0.86935773,org.apache.jackrabbit.core.CachingHierarchyManager,TRUE,"['Readability', 'NOCS_package', 'NOM_package']",2,"
has a number of overly long methods.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
325,spaghetti-code,0.987206622,org.apache.jackrabbit.core.cluster.ClusterNode,TRUE,"['Readability', 'NOM_package', 'TCC_type']",1,"
dozens of methods are long and not properly documented. 
",0,0,0,1,0,0,0,1,0,1,1,0,0,0
326,spaghetti-code,0.637708658,org.apache.jackrabbit.core.cluster.ClusterNode,TRUE,"['Readability', 'NOM_package', 'number_constructor_DefaultConstructor_methods']",2,"
some methods are too long.
",0,0,0,1,0,0,0,0,0,1,1,0,0,0
327,spaghetti-code,1.18363124,org.apache.jackrabbit.core.config.RepositoryConfig,TRUE,"['Readability', 'WMCNAMM_type', 'NOM_package']",1,"
the class has several long/complex methods.
",0,0,0,1,1,0,0,0,0,1,1,0,0,0
