smell,type,value,head,fea_num,features,approach
Spaghetti Code,agreement,0.7938144329896907,all,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,entropy,0.724959229826777,all,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,0.0,coupling,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,1.0,changehistory,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,0.0,cohesion,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,0.879746835443038,size,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,0.7796610169491526,complexity,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,0.0,production,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Spaghetti Code,agreement,0.0,testing,2,"{'Readability': 196, 'NOM_package': 122, 'number_abstract_methods': 70, 'number_constructor_DefaultConstructor_methods': 20, 'NOC_type': 15, 'number_final_not_static_methods': 10, 'LCOM5_type': 9, 'number_private_visibility_attributes': 8, 'WOC_type': 6, 'NOCS_package': 6, 'number-committors': 4, 'MPC': 4, 'number_package_visibility_methods': 3, 'WMCNAMM_type': 3, 'LOC': 3, 'CFNAMM_type': 3, 'avg.dev.scattering': 2, 'CBO': 2, 'number_final_static_methods': 2, 'Avg-commit-size': 1, 'WMC': 1, 'number_final_methods': 1, 'number_constructor_NotDefaultConstructor_methods': 1, 'isStatic_type': 1, 'num_not_final_not_static_attributes': 1, 'number_protected_visibility_methods': 1, 'is_controller': 1, 'number_private_visibility_methods': 1, 'is_external': 1}",AS_Additive
Blob,agreement,0.5431472081218274,all,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
