,merge,path,smell,entropy,setname,class,select,features,criticality,rate,comments,multi,coupling,changehistory,cohesion,size,complexity,production,testing,selected_cohesion,selected_coupling,selected_size,selected_complexity,selected_changehistory,selected_production,selected_testing
0,True,E:\reports\nasac\revised_nasac\report\complex-class\all\jena.schemagen_merged_0.txt,complex-class,2.6646764307796618,all,jena.schemagen,True,"['WMC', 'CBO', 'RFC', 'DIT_type', 'number_private_visibility_attributes', 'number_constructor_NotDefaultConstructor_methods', 'WOC_type', 'TCC_type']",1,,"
poorly understandable.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
1,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.cli.CliClient_merged_1.txt,complex-class,2.506344275172753,all,org.apache.cassandra.cli.CliClient,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_constructor_NotDefaultConstructor_methods', 'TCC_type', 'NMO_type', 'NOA_type']",1,,"
the client has some problems and does too many things. However, since it doesnt change too much, I would not consider this as a priority. 
",False,0,1,0,0,0,1,0,1,1,1,1,0,0,0
2,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.config.CFMetaData_merged_2.txt,complex-class,2.469013433204016,all,org.apache.cassandra.config.CFMetaData,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'WOC_type', 'DIT_type', 'Avg-commit-size']",1,,"
the class is overly complex, at some point someone should simplify it.
",False,0,0,0,0,1,0,0,0,1,1,1,1,0,0
3,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.config.DatabaseDescriptor_merged_3.txt,complex-class,2.3517827050197697,all,org.apache.cassandra.config.DatabaseDescriptor,True,"['RFC', 'CBO', 'NOA_type', 'TCC_type', 'num_final_attributes', 'NOPA_type', 'NOAM_type', 'DIT_type']",1,,"
too many loops that could be simplified, too many conditions checked. 
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
4,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.cql3.statements.SelectStatement_merged_4.txt,complex-class,2.6674338183544664,all,org.apache.cassandra.cql3.statements.SelectStatement,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'number_protected_visibility_methods', 'num_final_attributes']",1,,"
the complexity may be reduced, but this is not the moment. 
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
5,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.db.ColumnFamilyStore_merged_5.txt,complex-class,2.80509281783283,all,org.apache.cassandra.db.ColumnFamilyStore,True,"['WMC', 'CBO', 'RFC', 'LOC', 'TCC_type', 'DIT_type', 'NOAM_type', 'number_public_visibility_methods']",1,,"
the class is generally complex because it performs some tasks needed for the DB management, it is hard to understand how to refactor.
",False,0,0,0,0,1,1,0,1,1,1,1,0,0,0
6,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.db.SystemKeyspace_merged_6.txt,complex-class,2.6046971587097687,all,org.apache.cassandra.db.SystemKeyspace,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'TCC_type', 'number_private_visibility_attributes']",1,,"
it may be refactored for comprehensibility, but it works and so there is no need now to do it. 
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
7,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.gms.Gossiper_merged_7.txt,complex-class,2.8721015908172105,all,org.apache.cassandra.gms.Gossiper,True,"['WMC', 'CBO', 'DIT_type', 'RFC', 'number_public_visibility_methods', 'TCC_type', 'NOAM_type', 'WOC_type']",1,,"
the class is surely poorly understandable, yet I would postpone the refactoring till its stable.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
8,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.io.sstable.SSTableReader_merged_8.txt,complex-class,2.6176211596555756,all,org.apache.cassandra.io.sstable.SSTableReader,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'WOC_type', 'NOA_type', 'DIT_type']",1,,"
this is something we were considering since the class is complex enough not to allow everybody to work on it. We will do that at some oiint.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
9,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.service.StorageService_merged_10.txt,complex-class,2.594531877829697,all,org.apache.cassandra.service.StorageService,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'TCC_type', 'DIT_type']",1,,"
the service is a legacy code
",False,0,0,0,0,0,1,0,1,1,1,1,0,0,0
10,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.service.StorageServiceMBean_merged_11.txt,complex-class,2.5610235451988306,all,org.apache.cassandra.service.StorageServiceMBean,True,"['WMC', 'CBO', 'RFC', 'TCC_type', 'WOC_type', 'number_private_visibility_attributes', 'number_public_visibility_methods', 'NOAM_type']",1,,"
the class is too complex.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
11,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.thrift.CassandraServer_merged_12.txt,complex-class,2.677048716939665,all,org.apache.cassandra.thrift.CassandraServer,True,"['WMC', 'CBO', 'RFC', 'DIT_type', 'WOC_type', 'NOCS_package', 'TCC_type', 'number_public_visibility_methods']",1,,"
the sever actions are legacy, but a refactoring aimed at reducing its complexity may be worth.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
12,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.thrift.CfDef_merged_13.txt,complex-class,2.597867257022747,all,org.apache.cassandra.thrift.CfDef,True,"['WMC', 'CBO', 'RFC', 'number_final_methods', 'NOA_type', 'number_private_visibility_attributes', 'NOAM_type', 'NOII_type']",1,,"
this class would need some massaging to increase readability, but is not that urgent IMO
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
13,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.tools.NodeProbe_merged_14.txt,complex-class,2.483038852288686,all,org.apache.cassandra.tools.NodeProbe,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'TCC_type', 'number_constructor_NotDefaultConstructor_methods', 'DIT_type']",1,,"
a number of loops may be simplified. 
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
14,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.access.translator.ejbql.EJBQLConditionTranslator_merged_15.txt,complex-class,2.040010162086659,all,org.apache.cayenne.access.translator.ejbql.EJBQLConditionTranslator,True,"['WMC', 'CBO', 'number_final_methods', 'NOAM_type', 'RFC', 'NOA_type', 'number_constructor_NotDefaultConstructor_methods', 'WOC_type']",2,,"
there are too many conditions covered, it needs to be found a way to simplify the class.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
15,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.dba.oracle.OracleResultSetWrapper_merged_16.txt,complex-class,1.587291637329928,all,org.apache.cayenne.dba.oracle.OracleResultSetWrapper,True,"['WMC', 'CBO', 'RFC', 'NOA_type', 'DIT_type', 'num_final_attributes', 'NOAM_type', 'NOI_package']",2,,"
it wraps too many arguments and this makes the class unreadable.
",False,0,0,0,1,0,0,0,0,1,1,1,0,0,0
16,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.exp.ExpressionFactory_merged_17.txt,complex-class,1.7154085869150806,all,org.apache.cayenne.exp.ExpressionFactory,True,"['WMC', 'CBO', 'RFC', 'is_procedural', 'WOC_type', 'NOAM_type', 'LCOM5_type', 'NOI_package']",2,,"
the factory is hard to understand and every time I make a change I spend a lot of time.
",False,0,1,0,0,1,1,0,1,1,1,1,0,1,0
17,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.map.DataMap_merged_18.txt,complex-class,2.0094876281752145,all,org.apache.cayenne.map.DataMap,True,"['WMC', 'CBO', 'NOCS_package', 'DIT_type', 'WOC_type', 'RFC', 'NOAM_type', 'number_public_visibility_methods']",2,,"
It is an extreme case of complexity that may be solved.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
18,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.map.MapLoader_merged_19.txt,complex-class,1.9578917165337137,all,org.apache.cayenne.map.MapLoader,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'DIT_type', 'NOA_type']",2,,"
this is a complex class with too many methods
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
19,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.map.ObjEntity_merged_20.txt,complex-class,1.9685137717462236,all,org.apache.cayenne.map.ObjEntity,True,"['WMC', 'CBO', 'RFC', 'WOC_type', 'DIT_type', 'NOAM_type', 'TCC_type', 'number_public_visibility_methods']",2,,"
i am aware of the high complexity of the class, i am currently working to reduce it.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
20,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.modeler.ProjectController_merged_21.txt,complex-class,1.8326305325184187,all,org.apache.cayenne.modeler.ProjectController,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'NOCS_package', 'number_constructor_NotDefaultConstructor_methods', 'WOC_type']",2,,"
it is too complex, should be refactored.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
21,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cxf.jaxrs.client.AbstractClient_merged_22.txt,complex-class,2.7150676852858426,all,org.apache.cxf.jaxrs.client.AbstractClient,False,"['RFC', 'CBO', 'NOCS_package', 'NOAM_type', 'WOC_type', 'TCC_type', 'WMC', 'DIT_type']",0,,"
it is an abstract class, does nto require changes despite it could have been designed better.
",False,0,1,0,0,0,0,0,1,1,1,1,0,0,0
22,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cxf.jaxrs.client.WebClient_merged_23.txt,complex-class,2.9237590756918355,all,org.apache.cxf.jaxrs.client.WebClient,False,"['RFC', 'CBO', 'NOCS_package', 'TCC_type', 'WOC_type', 'number_public_visibility_methods', 'NOAM_type', 'NOA_type']",0,,"
this is not really a problem since it doesn't change too much.
",False,0,1,0,0,0,0,0,1,1,1,1,0,0,0
