smell,type,value,head,fea_num,features
spaghetti-code,agreement,0.5120274914089347,all,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,entropy,0.8535156996616952,all,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,0.3333333333333333,coupling,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,1.0,changehistory,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,1.0,cohesion,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,0.8164556962025317,size,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,0.1016949152542373,complexity,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,0.0,production,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
spaghetti-code,agreement,0.0,testing,2,"{'C3': 202, 'NOM_package': 54, 'number_constructor_DefaultConstructor_methods': 23, 'NOCS_package': 18, 'NOC_type': 17, 'LOC': 16, 'number_private_visibility_attributes': 12, 'CFNAMM_type': 9, 'number_package_visibility_methods': 9, 'number_constructor_NotDefaultConstructor_methods': 9, 'number_protected_visibility_attributes': 8, 'number_final_not_static_methods': 8, 'WOC_type': 8, 'MPC': 8, 'number_final_methods': 7, 'is_controller': 6, 'CBO': 6, 'number-committors': 6, 'LCOM5_type': 5, 'RFC': 5, 'number_abstract_methods': 5, 'number_final_static_methods': 5, 'num_static_not_final_attributes': 5, 'WMC': 5, 'avg.dev.scattering': 5, 'WMCNAMM_type': 5, 'number_private_visibility_methods': 4, 'number_package_visibility_attributes': 4, 'TCC_type': 4, 'Avg-commit-size': 3, 'number_protected_visibility_methods': 3, 'number_not_final_not_static_methods': 2, 'NOI_package': 2, 'num_not_final_not_static_attributes': 2, 'DIT_type': 1, 'persistance': 1, 'num_final_static_attributes': 1, 'number-changes': 1, 'isStatic_type': 1, 'is_util': 1, 'NOPA_type': 1, 'is_test': 1}"
blob,agreement,0.25888324873096447,all,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
